PC,cell_type_compound,cell_type,compound,cell_id,compound_cell_id,all_cells - chanel_3 Gabor Max 2 px w2 - Mean per Well,all_cells - chanel_2 Area,all_cells - chanel_3 SER Ridge 1 px - Mean per Well,all_cells - chanel_3_intensity Mean - Mean per Well,spotschan3_intensitymean_div_chan2area,chan3_intensitymean_div_chan2area,all_cells - chanel_1 Area,ir_chanel_3_at - Intensity ir_chanel_3_at chanel_3 Mean - Mean per Well,spots_chanel_3_final - Region Intensity - Mean per Well,spots_chanel_3_final - Spot to Region Intensity - Mean per Well,spots_chanel_3_final - Corrected Spot Intensity - Mean per Well
24s,PC2_T,PC2,T,1.0,T_1.0,-0.5493013712981416,2.4460404670274256,-0.9765348218959516,0.3747938436589593,-48.54883719628306,-8.261756521491973,0.6232181660019851,4.436500045036388,0.6789795827996508,0.2719513602270472,0.7649549595439459
24s,PC2_UT,PC2,UT,1.0,UT_1.0,-0.5585542533177301,2.4444013156340447,-0.988485813198722,-0.3063935083597316,-41.99314887731428,-9.027959107669815,0.6232047037813743,4.276046214878988,0.679556101831271,0.3076317957012762,0.7666944405844865
24s,PC2_T,PC2,T,1.0,T_1.0,-0.5540148438198953,2.444950257501046,-0.9820527677475264,0.0774355629972377,-48.46909908289311,-8.581020413527257,0.6231960257172459,4.382702933362986,0.6788523263026398,0.2908669838994336,0.7646494659235192
24s,NC2_T,NC2,T,5250.0,T_5250.0,-0.5545222321531694,2.4455823573025004,-0.9820163685876674,0.2994222950513535,-43.08831640017996,-8.3371144488696,0.6232073821184249,4.492277343605721,0.6795743668419307,0.3438773327273085,0.7666357138945351
24s,NC2_UT,NC2,UT,5250.0,UT_5250.0,-0.5579000701173733,2.4441167636622336,-0.9874778455045808,-0.0812583902479641,-40.411596012979125,-8.748124992055265,0.6232126011348741,4.449307797897903,0.6797167537931549,0.3345374669915711,0.7671391474537695
24s,NC2_T,NC2,T,5250.0,T_5250.0,-0.5548395883634242,2.453288076468309,-0.9818362095346688,0.4864205467358113,-46.9620919537106,-8.331304126174597,0.6232276995708517,4.582973243871021,0.6798823174660775,0.2825383287401724,0.7674233867302304
24s,NC2_UT,NC2,UT,5250.0,UT_5250.0,-0.5599353684788219,2.4513684326880942,-0.9901560306779044,-0.2945313274816112,-48.16443848595009,-9.20404114918441,0.6232121030393994,4.362542253052531,0.6795423960061752,0.3054949975267663,0.7665939345509446
24s,NC2_T,NC2,T,5250.0,T_5250.0,-0.5574084305419711,2.450781452276442,-0.9867908464420236,-0.1249462073523538,-49.6343603096536,-8.981429487996174,0.6232123322150781,4.374528704955755,0.6792808946172901,0.3623059310343904,0.7659985242670199
24s,NC2_UT,NC2,UT,5250.0,UT_5250.0,-0.5599310525950236,2.451095635181618,-0.9904666236329532,-0.3486044022693518,-46.10379148411498,-9.262651651598397,0.6232066186121514,4.259597278001932,0.679656634342291,0.4418746430072374,0.7671145947215169
24s,E_T,E,T,440.0,T_440.0,-0.5521273010042677,2.44675611411987,-0.9694278927484882,1.5783253106198227,-33.8905860996642,-6.949467839921147,0.6231853678304295,4.878287569158573,0.6807410751930104,0.2421780711807344,0.7695964048753036
24s,E_UT,E,UT,440.0,UT_440.0,-0.5517119176365309,2.442451977608467,-0.967636456721518,1.7407427238339714,-30.263138508206968,-6.669417238916496,0.6231881919483121,4.919026965209111,0.680858952386569,0.2361705627483574,0.7699011099042452
24s,E_T,E,T,440.0,T_440.0,-0.5501573323091568,2.448225119702532,-0.9685812041262184,1.461001209886791,-37.40249070076531,-7.11258362538614,0.6231978380646528,4.820601071437567,0.680480866958384,0.2564811136439101,0.7689097084938216
24s,E_UT,E,UT,440.0,UT_440.0,-0.5536939134259311,2.442811028679572,-0.9742235514791068,1.2639585800235276,-34.322088464645674,-7.184325030242006,0.6232364419216085,4.705236232389326,0.6804190792924878,0.2840446523555964,0.7687699568194617
24s,E_T,E,T,440.0,T_440.0,-0.5518542895730741,2.4424783544937605,-0.971621519161265,1.34601325078264,-34.56336090437658,-7.087614055976404,0.6231915666692671,4.674135306402862,0.680364744743859,0.2945366747182795,0.7686335151828333
24s,E_UT,E,UT,440.0,UT_440.0,-0.5497367414464944,2.4396653962315566,-0.972660652423322,0.9047770433846348,-38.41082240528547,-7.498590815953699,0.6231968751121868,4.663881245560589,0.6796853323386769,0.2606891280585021,0.7667628734868988
24s,E_T,E,T,440.0,T_440.0,-0.5539604725319861,2.4432034292975784,-0.97661630690457,1.00912144765884,-36.63133479386099,-7.472129511646393,0.623190738401162,4.6649172600418,0.6801795266952305,0.2825297631587244,0.7681367722799979
